trackTargetTrigger groupIndex triggerTime triggerWord
11 111 1759437244264239608 15
11 111 1759437244264239640 46
11 111 1759437244264241920 11
11 112 1759437246321547536 19
11 112 1759437246321547544 12
11 112 1759437246321547560 15
11 112 1759437246321547592 46
11 112 1759437246321549872 11
11 113 1759437249211289536 19
11 113 1759437249211289544 12
11 113 1759437249211289560 15
11 113 1759437249211289592 46
11 113 1759437249211291872 11
11 114 1759437253225609888 19
11 114 1759437253225609896 12
11 114 1759437253225609912 15
11 114 1759437253225609944 46
11 114 1759437253225612224 11
11 115 1759437255869872664 19
11 115 1759437255869872672 12
11 115 1759437255869872688 15
11 115 1759437255869872720 46
11 115 1759437255869875000 11
11 116 1759437259055446712 19
11 116 1759437259055446720 12
11 116 1759437259055446736 15
11 116 1759437259055446768 46
11 116 1759437259055449048 11
11 117 1759437261089607344 19
11 117 1759437261089607352 12
11 117 1759437261089607368 15
11 117 1759437261089607400 46
11 117 1759437261089609680 11
11 118 1759437264296158320 19
11 118 1759437264296158328 12
11 118 1759437264296158344 15
11 118 1759437264296158376 46
11 118 1759437264296160656 11
11 119 1759437266430954776 19
11 119 1759437266430954784 12
11 119 1759437266430954800 15
11 119 1759437266430954832 46
11 119 1759437266430957112 11
11 120 1759437269135988448 19
11 120 1759437269135988456 12
11 120 1759437269135988472 15
11 120 1759437269135988504 46
11 120 1759437269135990784 11
11 121 1759437271848296392 19
11 121 1759437271848296400 12
11 121 1759437271848296416 15
11 121 1759437271848296448 46
11 121 1759437271848298728 11
11 122 1759437273926539320 19
11 122 1759437273926539328 12
11 122 1759437273926539344 15
11 122 1759437273926539376 46
11 122 1759437273926541656 11
11 123 1759437278587786592 19
11 123 1759437278587786600 12
11 123 1759437278587786616 15
11 123 1759437278587786648 46
11 123 1759437278587788928 11
11 124 1759437281423665568 19
11 124 1759437281423665576 12
11 124 1759437281423665592 15
11 124 1759437281423665624 46
11 124 1759437281423667904 11
11 125 1759437283530948520 19
11 125 1759437283530948528 12
11 125 1759437283530948544 15
11 125 1759437283530948576 46
11 125 1759437283530950856 11
11 126 1759437285805676304 19
11 126 1759437285805676312 12
11 126 1759437285805676328 15
11 126 1759437285805676360 46
11 126 1759437285805678640 11
11 127 1759437291030858120 19
11 127 1759437291030858128 12
11 127 1759437291030858144 15
11 127 1759437291030858176 46
11 127 1759437291030860456 11
11 128 1759437293220544112 19
11 128 1759437293220544120 12
11 128 1759437293220544136 15
11 128 1759437293220544168 46
11 128 1759437293220546448 11
11 129 1759437296174612776 19
11 129 1759437296174612784 12
11 129 1759437296174612800 15
11 129 1759437296174612832 46
11 129 1759437296174615112 11
11 130 1759437299052963080 19
11 130 1759437299052963088 12
11 130 1759437299052963104 15
11 130 1759437299052963136 46
11 130 1759437299052965416 11
11 131 1759437301299213696 19
11 131 1759437301299213704 12
11 131 1759437301299213720 15
11 131 1759437301299213752 46
11 131 1759437301299216032 11
11 132 1759437303702155808 19
11 132 1759437303702155816 12
11 132 1759437303702155832 15
11 132 1759437303702155864 46
11 132 1759437303702158144 11
11 133 1759437306628418088 19
11 133 1759437306628418096 12
11 133 1759437306628418112 15
11 133 1759437306628418144 46
11 133 1759437306628420424 11
11 134 1759437309946613712 19
11 134 1759437309946613720 12
11 134 1759437309946613736 15
